sr_no,work_category,work,state,ida,mp,constituency,work_description,recommended_date,recommended_amount,sanction_date
2299,Normal/Others,WS/MP18176/2024-2025/139958-Construction of buildings for crèches and anganwadies,Tamil Nadu,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),SACHITHANANTHAM R,DINDIGUL,CONSTRUCTION OF Solakulaththupatty ANGANWADI BUILDING,2024-09-09,1698995.0,2024-09-20
2300,Normal/Others,WS/MP18176/2024-2025/139959-Construction of public toilets and bathrooms,Tamil Nadu,DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA),SACHITHANANTHAM R,DINDIGUL,Construction of free public toilets and bathrooms in bus stand natham (ward No: 9),2024-09-09,1000000.0,2024-09-24
2301,Normal/Others,WS/MP18023/2025-2026/139960-Construction of additional rooms and halls in the existing public and community building,Assam,KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA),BIJULI KALITA MEDHI,GUWAHATI,"Construction of Community hall at Jyoti Nagar mahila samiti , Jyotinagar .",2024-09-08,500000.0,2025-04-11
2302,Normal/Others,WS/MP18023/2024-2025/139962-Construction of public libraries and reading rooms,Assam,KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA),BIJULI KALITA MEDHI,GUWAHATI,"Construction of Public libraries and Reading room at Chamaria High school , Chamaria satra.",2024-09-08,500000.0,2025-02-19
2303,Normal/Others,WS/MP823/2024-2025/139964-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Construction of Shed and Beautification with colour paver block at Karimpur Anandapally Crematorium under Karimpur -I Block, Nadia.",2024-09-08,2933290.0,2024-12-26
2304,Repair and Renovation,"WS/MP823/2024-2025/139965-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Renovation & Decorative works of old Building Karimpur Police Station under Karimpur-I Block, Nadia.",2024-09-08,2028611.0,2024-12-26
2305,Normal/Others,WS/MP823/2024-2025/139966-Renovation of ponds and lakes,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Beautification with Colour paver block, Seating arrangement and pathway around the pond of Karimpur Police Station in Karimpur-I G.P Under Karimpur-I Block.",2024-09-08,518968.0,2024-12-26
2306,Normal/Others,WS/MP823/2024-2025/139967-Development of playfields and sports grounds,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,Construction of Enternce Gate at Karimpur RMC Ground Under Karimpur-I Block.,2024-09-08,199567.0,2024-12-26
2307,Normal/Others,"WS/MP823/2024-2025/139968-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Construction of Shed for newly constructed OPD building under Natidanga-I GP, Karimpur-II Block.",2024-09-08,80852.0,2024-12-16
2308,Normal/Others,WS/MP823/2025-2026/139969-Establishing public ground water recharging facilities,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Low land upgradation of hospital garden under Natidanga-I GP, Karimpur-II Block.",2024-09-08,72859.0,2025-07-02
2309,Normal/Others,"WS/MP823/2024-2025/139970-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Construction & Upgradation of nursing station under Natidanga-I GP, Karimpur-II Block, Nadia.",2024-09-08,181248.0,2024-12-16
2310,Normal/Others,"WS/MP823/2024-2025/139971-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Repair & renovation of old quarters Natidanga Rural Hospital Under Natidanga-I Hospital, Karimpur-II Block.",2024-09-08,107831.0,2024-12-16
2311,Normal/Others,"WS/MP823/2024-2025/139972-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Construction of Car shed for Hospital staff under Natidanga-I GP, under Karimpur-II Block.",2024-09-08,99160.0,2024-12-16
2312,Normal/Others,WS/ MP443/2025-2026/139973-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2313,Normal/Others,WS/ MP443/2025-2026/139974-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2314,Normal/Others,WS/ MP443/2025-2026/139975-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2315,Normal/Others,WS/ MP443/2025-2026/139976-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2316,Normal/Others,WS/ MP443/2025-2026/139977-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2317,Normal/Others,WS/ MP443/2025-2026/139978-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2318,Normal/Others,WS/ MP443/2025-2026/139979-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2319,Normal/Others,WS/ MP443/2025-2026/139980-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2320,Normal/Others,WS/ MP443/2025-2026/139981-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2321,Normal/Others,WS/ MP443/2025-2026/139982-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2322,Normal/Others,WS/ MP443/2025-2026/139983-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2323,Normal/Others,WS/ MP443/2025-2026/139984-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2324,Normal/Others,WS/ MP443/2025-2026/139985-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2325,Normal/Others,WS/ MP443/2025-2026/139986-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2326,Normal/Others,WS/ MP443/2025-2026/139987-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2327,Normal/Others,WS/ MP443/2025-2026/139988-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2328,Normal/Others,WS/ MP443/2025-2026/139989-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2329,Normal/Others,WS/ MP443/2025-2026/139990-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2330,Normal/Others,WS/ MP443/2025-2026/139991-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2331,Normal/Others,WS/ MP443/2025-2026/139992-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2332,Normal/Others,WS/ MP443/2025-2026/139993-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2333,Normal/Others,WS/ MP443/2025-2026/139994-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2334,Normal/Others,WS/ MP443/2025-2026/139995-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2335,Normal/Others,WS/ MP443/2025-2026/139996-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2336,Normal/Others,WS/ MP443/2025-2026/139998-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2337,Normal/Others,WS/ MP443/2025-2026/139999-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2338,Normal/Others,WS/ MP443/2025-2026/140000-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2339,Normal/Others,WS/ MP443/2025-2026/140001-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2340,Normal/Others,WS/ MP443/2025-2026/140002-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2341,Normal/Others,WS/ MP443/2025-2026/140003-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2342,Normal/Others,WS/ MP443/2025-2026/140004-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2343,Normal/Others,WS/ MP443/2025-2026/140005-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2344,Normal/Others,WS/ MP443/2025-2026/140006-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2345,Normal/Others,WS/ MP443/2025-2026/140007-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2346,Normal/Others,WS/ MP443/2025-2026/140008-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2347,Normal/Others,WS/ MP443/2025-2026/140009-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2348,Normal/Others,WS/ MP443/2025-2026/140010-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2349,Normal/Others,WS/ MP443/2025-2026/140011-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2350,Normal/Others,WS/ MP443/2025-2026/140012-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.m,2024-09-09,100000.0,2025-04-26
2351,Normal/Others,WS/ MP443/2025-2026/140013-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2352,Normal/Others,WS/ MP443/2025-2026/140014-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2353,Normal/Others,WS/ MP443/2025-2026/140015-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2354,Normal/Others,WS/ MP443/2025-2026/140016-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2355,Normal/Others,WS/ MP443/2025-2026/140017-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2356,Normal/Others,WS/ MP443/2025-2026/140018-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2357,Normal/Others,WS/ MP443/2025-2026/140019-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2358,Normal/Others,WS/ MP443/2025-2026/140020-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2359,Normal/Others,WS/ MP443/2025-2026/140021-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2360,Normal/Others,WS/ MP443/2025-2026/140022-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2361,Normal/Others,WS/ MP443/2025-2026/140023-Purchase Books for Library,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Book's purchase for Student's improve knowledge and mental development.,2024-09-09,100000.0,2025-04-26
2362,Normal/Others,WS/MP18152/2025-2026/140024-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Purchase of Steel mobile water tanker,2024-09-09,200000.0,2025-04-16
2363,Normal/Others,WS/MP18152/2025-2026/140025-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Purchase of Steel mobile water tanker at GP Ghal Kalan Patti,2024-09-09,200000.0,2025-04-16
2364,Normal/Others,WS/MP18152/2024-2025/140026-Street lights,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Installation of Fixed Street lights,2024-09-09,250000.0,2025-02-18
2365,Normal/Others,WS/MP18152/2025-2026/140027-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Purchase of Steel mobile water tanker,2024-09-09,200000.0,2025-04-16
2366,Normal/Others,WS/MP18152/2024-2025/140028-Construction of community centers and community halls,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Construction of SC Dharamshala,2024-09-09,400000.0,2024-12-20
2367,Normal/Others,WS/MP18152/2024-2025/140029-Installing tube-wells and borewells,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Installing of Borewell and Submersible Pump at cremation ground,2024-09-09,100000.0,2024-12-20
2368,Normal/Others,WS/MP18152/2024-2025/140030-Fitting of Sitting RCC Benches in Public Places,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Fitting of Sitting RCC Benches in Public Places,2024-09-09,100000.0,2024-12-20
2369,Normal/Others,WS/MP18152/2025-2026/140031-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Purchase of Steel mobile water tanker,2024-09-09,200000.0,2025-04-16
2370,Normal/Others,WS/MP18152/2025-2026/140032-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Purchase of Steel mobile water tanker,2024-09-09,200000.0,2025-04-16
2371,Normal/Others,WS/MP18152/2024-2025/140033-Fitting of Sitting RCC Benches in Public Places,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Fitting of Sitting RCC Benches in Public Places at GP Bhauwala,2024-09-09,100000.0,2024-12-20
2372,Normal/Others,WS/MP18152/2024-2025/140034-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Construction of Shed in Cremation Ground,2024-09-09,200000.0,2024-12-20
2373,Normal/Others,WS/MP18152/2024-2025/140035-Street lights,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),installation of Fixed Street lights,2024-09-09,400000.0,2025-01-10
2374,Normal/Others,WS/MP18152/2024-2025/140036-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Construction boundary wall of cremation ground at Shaheed Bhagat singh Nagar,2024-09-09,300000.0,2025-02-18
2375,Normal/Others,"WS/MP18253/2024-2025/140037-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD WITH PAILING FROM RABI HALDER HOUSE TO RENUPADA HALDER HOUSE,2024-09-09,300000.0,2024-11-19
2376,Normal/Others,"WS/MP18253/2024-2025/140038-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM NARAYAN BISWAS HOUSE TO HARADHAN HOUSE,2024-09-09,246723.0,2024-11-19
2377,Normal/Others,"WS/MP18253/2024-2025/140039-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM RABIN GHOSH HOUSE TO PACCA RASTA,2024-09-09,400000.0,2024-10-23
2378,Normal/Others,"WS/MP18253/2024-2025/140040-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM ISWARIPUR PANCHANAN MONDIR TO FAKIR PARA CULVERT,2024-09-09,199288.0,2024-10-23
2379,Normal/Others,"WS/MP18253/2024-2025/140041-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM HANSA SARDAR HOUSE TO TARACHANDPUR SABITA KALAPAHAR HOUSE,2024-09-09,300000.0,2024-11-19
2380,Normal/Others,"WS/MP18253/2024-2025/140044-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM REBATI BAZKHA HOUSE TO PATIT HALDER HOUSE,2024-09-09,199850.0,2024-10-23
2381,Normal/Others,"WS/MP18253/2024-2025/140045-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM SUNDAR PURKAIT HOUSE TO BIREN MOULE HOUSE AT KUSH BERIYA,2024-09-09,249867.0,2024-10-23
2382,Normal/Others,"WS/MP18253/2024-2025/140046-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM RABI ATIYAR MOLLA GHAT TO JAMALMOLLA HOUSE VIA MOSJID PURBADHOLA,2024-09-09,299271.0,2024-10-23
2383,Normal/Others,"WS/MP18253/2024-2025/140047-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM BAGARIYA TO DAKSHIN BHANDARY CULVERT,2024-09-09,1000000.0,2024-11-19
2384,Normal/Others,"WS/MP18253/2024-2025/140048-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM GOUR HALDER HOUSE TO KRISHNA HALDER HOUSE AT DAMODARPUR,2024-09-09,250000.0,2024-10-23
2385,Normal/Others,"WS/MP18253/2024-2025/140049-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM RAMTANU NAGAR TRANCFARMA TO UPENDRA PRAMANIK HOUSE,2024-09-09,249403.0,2024-10-23
2386,Normal/Others,"WS/MP18253/2024-2025/140050-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM BIREN GAYEN HOUSE TO PRABIR MONDAL HOUSE,2024-09-09,350000.0,2024-10-23
2387,Normal/Others,"WS/MP18253/2024-2025/140051-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM PRADIP MONDAL HOUSE TO KARNA HATI HOUSE,2024-09-09,349818.0,2024-10-23
2388,Normal/Others,"WS/MP18253/2024-2025/140052-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),CONSTRUCTION OC CC ROAD FROM NIL KUMAR MONDAL HOUSE TO RATAN MONDAL HOUSE,2024-09-09,299828.0,2024-12-24
2389,Normal/Others,WS/MP352/2025-2026/140054-Purchase of vans and buses for educational institutions,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,"Purchase of a School bus for St.Joseph U P School, Karithala",2024-09-09,2472799.0,2025-09-23
2390,Normal/Others,WS/MP352/2025-2026/140055-Purchase of vans and buses for educational institutions,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,"Purchase of a school bus for St.Marys CGHS, Ernakulam",2024-09-09,2257000.0,2025-09-23
